,ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,USR
0,00501,Holtsville,NY,Post Office or large volume customer,11742,Spatial join to ZCTA,S
1,00544,Holtsville,NY,Post Office or large volume customer,11742,Spatial join to ZCTA,S
2,11742,Holtsville,NY,Zip Code Area,11742,Zip Matches ZCTA,S
3,00601,Adjuntas,PR,Zip Code Area,00601,Zip Matches ZCTA,S
4,00602,Aguada,PR,Zip Code Area,00602,Zip Matches ZCTA,S
5,00603,Aguadilla,PR,Zip Code Area,00603,Zip Matches ZCTA,U
6,00604,Aguadilla,PR,Post Office or large volume customer,00603,Spatial join to ZCTA,U
7,00605,Aguadilla,PR,Post Office or large volume customer,00603,Spatial join to ZCTA,U
8,00606,Maricao,PR,Zip Code Area,00606,Zip Matches ZCTA,R
9,00610,Anasco,PR,Zip Code Area,00610,Zip Matches ZCTA,S
10,00611,Angeles,PR,Post Office or large volume customer,00641,Spatial join to ZCTA,S
11,00641,Utuado,PR,Zip Code Area,00641,Zip Matches ZCTA,S
12,00612,Arecibo,PR,Zip Code Area,00612,Zip Matches ZCTA,U
13,00613,Arecibo,PR,Post Office or large volume customer,00612,Spatial join to ZCTA,U
14,00614,Arecibo,PR,Post Office or large volume customer,00612,Spatial join to ZCTA,U
15,00616,Bajadero,PR,Post Office or large volume customer,00616,Zip matches ZCTA,S
16,00617,Barceloneta,PR,Zip Code Area,00617,Zip Matches ZCTA,S
17,00622,Boqueron,PR,Post Office or large volume customer,00622,Zip matches ZCTA,R
18,00623,Cabo Rojo,PR,Zip Code Area,00623,Zip Matches ZCTA,S
19,00624,Penuelas,PR,Zip Code Area,00624,Zip Matches ZCTA,S
20,00627,Camuy,PR,Zip Code Area,00627,Zip Matches ZCTA,S
21,00631,Castaner,PR,Zip Code Area,00631,Zip matches ZCTA,R
22,00636,Rosario,PR,Post Office or large volume customer,00680,Spatial join to ZCTA,U
23,00680,Mayaguez,PR,Zip Code Area,00680,Zip Matches ZCTA,U
24,00681,Mayaguez,PR,Post Office or large volume customer,00680,Spatial join to ZCTA,U
